mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.06827561060587566,0.015515760663963448,0.005135059356689453,0.0019321767913929432,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",-310368.8341011622,-232214.11871910607,-168722.21350901516,-237101.72210976112,57930.175104587026,1
0.11460232734680176,0.01403822731965333,0.007779280344645183,0.000811571948179511,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",-312269.1319638884,-233046.05205370483,-170227.75633448953,-238514.3134506943,58116.91956566149,2
0.483348290125529,0.006305425437948427,0.008425712585449219,0.00041819534016260577,0.01,10,100,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",-314933.3776678834,-240056.04055839378,-172685.550038287,-242558.32275485471,58099.381399333826,3
0.9166212876637777,0.01887824344019213,0.016528209050496418,0.0018423805260296684,0.01,10,200,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}",-321050.67121982656,-247021.99662610167,-177269.4271466774,-248447.36499753522,58707.09947443231,4
0.0602569580078125,0.002481050505403434,0.004554351170857747,0.0011313024023151892,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",-329332.643689918,-251908.33543409026,-178724.68544837303,-253321.88819079372,61493.5653542641,5
0.11149112383524577,0.003602226413689015,0.00853427251180013,0.00413433896194105,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",-342032.8879537763,-271936.59886929905,-187796.84490305395,-267255.44390870974,63053.544192270194,6
0.40674495697021484,0.011673643471109092,0.008095343907674154,0.0008627266542806132,0.1,10,100,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",-338723.3734134838,-277504.59746221127,-209515.5682397004,-275247.8463717985,52772.99766338622,7
0.6797623634338379,0.045364488658318575,0.012850602467854818,0.0011012450733631834,0.1,10,200,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}",-340954.6433868944,-281238.9396380055,-223549.72338798878,-281914.4354709629,47932.737810064726,8
