mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.2982274691263833,0.009276637554587762,0.036530256271362305,0.005845340908781813,5,50,"{'max_depth': 5, 'n_estimators': 50}",-8.649058308749854,-8.531858156895861,-8.365407177964487,-8.515441214536734,0.11638049090883335,2
4.625792662302653,0.03284364554816632,0.07864999771118164,0.014720729866451655,5,100,"{'max_depth': 5, 'n_estimators': 100}",-8.646124188023425,-8.527207948981756,-8.358179701640037,-8.510503946215072,0.11814475468952015,1
4.40939195950826,0.22469814930274457,0.0688322385152181,0.01223269660506729,10,50,"{'max_depth': 10, 'n_estimators': 50}",-8.717325900130986,-8.533260050212077,-8.387986722776509,-8.546190891039856,0.13476270111697808,4
7.686807950337728,0.2220467172745552,0.13193146387736002,0.017645997199161274,10,100,"{'max_depth': 10, 'n_estimators': 100}",-8.700037482464696,-8.51540097778795,-8.365192540995382,-8.52687700041601,0.13694051756977504,3
